CustomerID;CustomerName;Gender;BirthDate_FR;Segment;CityID;SignupDate_US
C1000;Auguste Michaud;M;30/03/1962;Premium;CITY12;02/24/2019
C1001;Philippine Barre-Blondel;;19/10/1967; Retail;CITY04;08/10/2020
C1002;Bertrand Leblanc;;19/05/1962;Student;CITY10;02/13/2021
C1003;Colette Besnard;M;28/04/1974;Corporate;CITY04;10/10/2021
C1004;Aimée Peltier;M;27/04/1968;Corporate;CITY10;12/19/2020
C1005;Patrick Becker de la Masse;M;20/03/2001;Student ;CITY05;12/08/2024
C1006;Bernadette Laporte;Female;01/04/1977;Retail;CITY05;11/23/2018
C1007;Sébastien Valette;F;22/01/1969;Student;CITY06;10/29/2019
C1008;Roland-Augustin Charrier;Female;15/11/1991;Corporate;CITY11;10/20/2018
C1009;Agathe Louis de la Texier;;09/05/1975;Premium;CITY07;01/10/2021
C1010;Joséphine Le Maury;;14/09/1979;Retail;CITY01;07/16/2021
C1011;Lucas Delorme;Male;;Corporate;CITY08;06/09/2022
C1012;Marguerite Lucas;Male;25/10/1972;Premium;CITY09;12/12/2020
C1013;Cécile Dufour;;08/06/1998;Student;CITY03;09/19/2023
C1014;Agnès Colin;Male;26/02/1968;Retail;CITY03;09/26/2022
C1015;Audrey-Simone Chauvin;;12/09/1965;Student;CITY09;02/17/2018
C1016;Pénélope-Clémence Fernandes;M;09/12/1983;Corporate;CITY07;10/10/2019
C1017;Xavier Couturier-Daniel;Male;16/04/1960;Corporate;CITY03;09/11/2023
C1018;Anastasie Toussaint du Julien;M;10/10/1986;Premium;CITY03;01/19/2024
C1019;Camille Thibault;;19/01/1960; Student;CITY06;06/13/2021
C1020;Julien de Vallée;F;13/03/1965;RETAIL;CITY08;10/11/2018
C1021;Agnès Pichon;;13/04/1971;Student;CITY03;12/21/2020
C1022;Margot Fontaine;;17/12/1997;Premium;CITY07;03/10/2022
C1023;Sophie Rousset;Male;03/07/2000;Premium ;CITY01;08/06/2024
C1024;Édouard Dufour;;23/08/1980;Retail ;CITY11;08/30/2018
C1025;Luce-Hélène Georges;F;17/01/1966;Corporate ;CITY04;02/14/2021
C1026;Jeannine Morin;Male;22/03/1979;Student;CITY08;07/26/2022
C1027;Émile Nguyen;F;17/06/1968;Student;CITY07;03/28/2023
C1028;Adrien Alexandre;M;;Corporate;CITY02;10/15/2020
C1029;Catherine Rivière;F;23/01/1977;Premium;CITY05;03/10/2023
C1030;Agnès Peron;F;06/10/1966;Retail ;CITY09;03/02/2018
